hardware,model,layer_name,input,kv_cache,latency(ns)
A800,qwen2-moe,vocab_embedding,1,0,152575
A800,qwen2-moe,input_layernorm,1,0,64383
A800,qwen2-moe,attention/qkv,1,0,83711
A800,qwen2-moe,attention/rotary_emb,1,0,139092
A800,qwen2-moe,attention/dense,1,0,57407
A800,qwen2-moe,attention/wrapper,1,0,793151
A800,qwen2-moe,post_layernorm,1,0,61311
A800,qwen2-moe,mlp/fc,1,0,81001
A800,qwen2-moe,mlp/gelu,1,0,80340
A800,qwen2-moe,mlp/proj,1,0,73791
A800,qwen2-moe,moe/shared_expert,1,0,506772
A800,qwen2-moe,moe/shared_expert_gate,1,0,92842
A800,qwen2-moe,moe/gate,1,0,63828
A800,qwen2-moe,moe/experts,1,0,426090
A800,qwen2-moe,mlp/wrapper,1,0,1553194
A800,qwen2-moe,ln_f,1,0,59903
A800,qwen2-moe,lm_head,1,0,530431
A800,qwen2-moe,vocab_embedding,1,0,76800
A800,qwen2-moe,vocab_embedding,1,1,114688
A800,qwen2-moe,input_layernorm,1,1,62101
A800,qwen2-moe,attention/qkv,1,1,81279
A800,qwen2-moe,attention/rotary_emb,1,1,137748
A800,qwen2-moe,attention/dense,1,1,57141
A800,qwen2-moe,attention/wrapper,1,1,778485
A800,qwen2-moe,post_layernorm,1,1,60394
A800,qwen2-moe,mlp/fc,1,1,80031
A800,qwen2-moe,mlp/gelu,1,1,80703
A800,qwen2-moe,mlp/proj,1,1,73376
A800,qwen2-moe,moe/shared_expert,1,1,503092
A800,qwen2-moe,moe/shared_expert_gate,1,1,91925
A800,qwen2-moe,moe/gate,1,1,63338
A800,qwen2-moe,moe/experts,1,1,421855
A800,qwen2-moe,mlp/wrapper,1,1,1518698
A800,qwen2-moe,ln_f,1,1,58624
A800,qwen2-moe,lm_head,1,1,472063
A800,qwen2-moe,vocab_embedding,1,2,81919
A800,qwen2-moe,input_layernorm,1,2,59818
A800,qwen2-moe,attention/qkv,1,2,78847
A800,qwen2-moe,attention/rotary_emb,1,2,136404
A800,qwen2-moe,attention/dense,1,2,56874
A800,qwen2-moe,attention/wrapper,1,2,763818
A800,qwen2-moe,post_layernorm,1,2,59477
A800,qwen2-moe,mlp/fc,1,2,79060
A800,qwen2-moe,mlp/gelu,1,2,81065
A800,qwen2-moe,mlp/proj,1,2,72960
A800,qwen2-moe,moe/shared_expert,1,2,499412
A800,qwen2-moe,moe/shared_expert_gate,1,2,91007
A800,qwen2-moe,moe/gate,1,2,62847
A800,qwen2-moe,moe/experts,1,2,417620
A800,qwen2-moe,mlp/wrapper,1,2,1484202
A800,qwen2-moe,ln_f,1,2,57344
A800,qwen2-moe,lm_head,1,2,413695
A800,qwen2-moe,vocab_embedding,1,3,75776
A800,qwen2-moe,input_layernorm,1,3,59562
A800,qwen2-moe,attention/qkv,1,3,77695
A800,qwen2-moe,attention/rotary_emb,1,3,136234
A800,qwen2-moe,attention/dense,1,3,57215
A800,qwen2-moe,attention/wrapper,1,3,757716
A800,qwen2-moe,post_layernorm,1,3,60074
A800,qwen2-moe,mlp/fc,1,3,78463
A800,qwen2-moe,mlp/gelu,1,3,81321
A800,qwen2-moe,mlp/proj,1,3,72533
A800,qwen2-moe,moe/shared_expert,1,3,496383
A800,qwen2-moe,moe/shared_expert_gate,1,3,90368
A800,qwen2-moe,moe/gate,1,3,61055
A800,qwen2-moe,moe/experts,1,3,416298
A800,qwen2-moe,mlp/wrapper,1,3,1477034
A800,qwen2-moe,ln_f,1,3,63487
A800,qwen2-moe,lm_head,1,3,409599
A800,qwen2-moe,vocab_embedding,1,4,81919
A800,qwen2-moe,input_layernorm,1,4,60415
A800,qwen2-moe,attention/qkv,1,4,77482
A800,qwen2-moe,attention/rotary_emb,1,4,137556
A800,qwen2-moe,attention/dense,1,4,56661
A800,qwen2-moe,attention/wrapper,1,4,757204
A800,qwen2-moe,post_layernorm,1,4,62250
A800,qwen2-moe,mlp/fc,1,4,78463
A800,qwen2-moe,mlp/gelu,1,4,81065
A800,qwen2-moe,mlp/proj,1,4,72618
A800,qwen2-moe,moe/shared_expert,1,4,496383
A800,qwen2-moe,moe/shared_expert_gate,1,4,90410
A800,qwen2-moe,moe/gate,1,4,61396
A800,qwen2-moe,moe/experts,1,4,413140
A800,qwen2-moe,mlp/wrapper,1,4,1472852
A800,qwen2-moe,ln_f,1,4,57344
A800,qwen2-moe,lm_head,1,4,405503
A800,qwen2-moe,vocab_embedding,1,5,95232
A800,qwen2-moe,input_layernorm,1,5,60287
A800,qwen2-moe,attention/qkv,1,5,78207
A800,qwen2-moe,attention/rotary_emb,1,5,136874
A800,qwen2-moe,attention/dense,1,5,57514
A800,qwen2-moe,attention/wrapper,1,5,757631
A800,qwen2-moe,post_layernorm,1,5,59392
A800,qwen2-moe,mlp/fc,1,5,78633
A800,qwen2-moe,mlp/gelu,1,5,79999
A800,qwen2-moe,mlp/proj,1,5,72362
A800,qwen2-moe,moe/shared_expert,1,5,494890
A800,qwen2-moe,moe/shared_expert_gate,1,5,91861
